Brand,name,Display,Processor,Weight,Memory,Ram,img-url,Price,URL,Number rating,Average rating
Dell,Dell Inspiron 16 5620 i5 1235U (P1WKN),"16"",FullHD","i5, 1235U, 1.3GHz",1.87 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/303834/dell-inspiron-16-5620-i5-p1wkn-thumb-600x600.jpg,19790000.0,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5-p1wkn,,
Lenovo,Lenovo ThinkBook 14 G4 IAP i5 1240P (21DH00B5VN),"14"",FullHD","i5, 1240P, 1.7GHz",1.4 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/299800/lenovo-thinkbook-14-g4-iap-i5-21dh00b5vn-251222-021334-600x600.jpg,19690000.0,https://www.thegioididong.com/laptop/lenovo-thinkbook-14-g4-iap-i5-21dh00b5vn,,
Dell,Dell Vostro 5620 i5 1240P (70296963),"16"",FullHD+","i5, 1240P, 1.7GHz",1.97 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/292592/dell-vostro-5620-i5-70296963-thumb-laptop-600x600.jpg,19490000.0,https://www.thegioididong.com/laptop/dell-vostro-5620-i5-70296963,7.0,4.6
HP,HP Probook 450 G9 i5 1235U (6M0Y9PA),"15.6"",FullHD","i5, 1235U, 1.3GHz",1.74 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/291154/hp-probook-450-g9-i5-6m0y9pa-thumb-1-600x600.jpg,19390000.0,https://www.thegioididong.com/laptop/hp-probook-450-g9-i5-6m0y9pa,9.0,4.7
HP,HP Pavilion 15 eg2034TX i7 1255U (6K780PA),"15.6"",FullHD","i7, 1255U, 1.7GHz",1.74 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285967/TimerThumb/hp-pavilion-15-eg2034tx-i7-6k780pa.jpg,19290000.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2034tx-i7-6k780pa,8.0,4.0
Dell,Dell Inspiron 15 5515 R7 5700U (N5R75700U104W1),"15.6"",FullHD","Ryzen 7, 5700U, 1.8GHz",1.75 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/267558/dell-inspiron-15-5515-r7-5700u-8gb-512gb-office-600x600.jpg,18790000.0,https://www.thegioididong.com/laptop/dell-inspiron-15-5515-r7-n5r75700u104w1,6.0,3.5
MSI,MSI Modern 15 B13M i5 1335U (438VN),"15.6"",FullHD","i5, 1335U, 1.3GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/306141/msi-modern-15-b13m-i5-438vn-thumb-600x600.jpg,18490000.0,https://www.thegioididong.com/laptop/msi-modern-15-b13m-i5-438vn,,
Dell,Dell Inspiron 16 5620 i5 1240P (i5P165W11SLU),"16"",FullHD","i5, 1240P, 1.7GHz",1.87 kg,SSD 512 GB,RAM 16 GB,https://cdn.tgdd.vn/Products/Images/44/296922/dell-inspiron-16-5620-i5p165w11slu-thumb-600x600.jpg,18390000.0,https://www.thegioididong.com/laptop/dell-inspiron-16-5620-i5p165w11slu,6.0,4.2
Acer,Acer Swift 3 SF314 511 55QE i5 1135G7 (NX.ABNSV.003),"14"",FullHD","i5, 1135G7, 2.4GHz",1.19 kg,SSD 512 GB,RAM 16 GB,https://cdn.tgdd.vn/Products/Images/44/269313/acer-swift-3-sf314-511-55qe-i5-nxabnsv003-120122-022600-600x600.jpg,17690000.0,https://www.thegioididong.com/laptop/acer-swift-3-sf314-511-55qe-i5-nxabnsv003,10.0,4.5
Dell,Dell Inspiron 15 3520 i5 1235U (i5U085W11BLU),"15.6"",FullHD,120Hz","i5, 1235U, 1.3GHz",1.9 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/296921/dell-inspiron-15-3520-i5u085w11blu-ab-thumb-600x600.jpg,17490000.0,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5u085w11blu,5.0,4.0
Asus,Asus Vivobook 14 X1404VA i5 1335U (NK123W),"14"",FullHD","i5, 1335U, 1.3GHz",1.4 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/305656/asus-vivobook-14-x1404va-i5-nk123w-thumb-laptop-600x600.jpg,17490000.0,https://www.thegioididong.com/laptop/asus-vivobook-14-x1404va-i5-nk123w,,
HP,HP 15s fq5147TU i7 1255U (7C133PA),"15.6"",FullHD","i7, 1255U, 1.7GHz",1.69 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/305917/hp-15s-fq5147tu-i7-7c133pa-thumb-600x600.jpg,17290000.0,https://www.thegioididong.com/laptop/hp-15s-fq5147tu-i7-7c133pa,,
HP,HP 15s fq5077TU i7 1255U (6K797PA),"15.6"",FullHD","i7, 1255U, 1.7GHz",1.69 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/284140/TimerThumb/hp-15s-fq5077tu-i7-6k797pa-(12).jpg,16990000.0,https://www.thegioididong.com/laptop/hp-15s-fq5077tu-i7-6k797pa,35.0,4.4
HP,HP Pavilion X360 14 dy0161TU i3 1125G4 (4Y1D2PA),"14"",FullHD","i3, 1125G4, 2GHz",1.525 kg,SSD 512 GB,RAM 4 GB,https://cdn.tgdd.vn/Products/Images/44/270390/TimerThumb/hp-pavilion-x360-14-dy0161tu-i3-4y1d2pa-(14).jpg,16590000.0,https://www.thegioididong.com/laptop/hp-pavilion-x360-14-dy0161tu-i3-4y1d2pa,24.0,3.8
HP,HP Pavilion 15 eg2036TX i5 1235U (6K782PA),"15.6"",FullHD","i5, 1235U, 1.3GHz",1.74 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/291157/TimerThumb/hp-pavilion-15-eg2036tx-i5-6k782pa.jpg,16390000.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2036tx-i5-6k782pa,10.0,4.1
Acer,Acer Aspire 3 A315 58 787C i7 1165G7 (NX.ADDSV.00J),"15.6"",FullHD","i7, 1165G7, 2.8GHz",1.7 kg,SSD 512 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/285959/TimerThumb/acer-aspire-3-a315-58-787c-i7-nxaddsv00j-(8).jpg,15990000.0,https://www.thegioididong.com/laptop/acer-aspire-3-a315-58-787c-i7-nxaddsv00j,6.0,3.8
HP,HP Pavilion 15 eg2085TU i5 1240P (7C0Q7PA),"15.6"",FullHD","i5, 1240P, 1.7GHz",1.72 kg,SSD 256 GB,RAM 8 GB,https://cdn.tgdd.vn/Products/Images/44/302210/TimerThumb/hp-pavilion-15-eg2085tu-i5-7c0q7pa.jpg,15990000.0,https://www.thegioididong.com/laptop/hp-pavilion-15-eg2085tu-i5-7c0q7pa,6.0,4.2
